m, n, k, edeges, avg-degree, clustering_coeff, diameter, avg-pathlength
64,500,8,13100,26.2,0.48261815309524536,5.0,2.580878423513694
64,500,8,13141,26.282,0.48214754462242126,5.0,2.55013746501267
16,1000,8,39763,39.763,0.4588682949542999,5.0,2.644760246033328
16,1000,8,40396,40.396,0.4193027913570404,6.0,2.697296082259159
16,1000,8,41009,41.009,0.4095882475376129,5.0,2.6618987565457237
32,1000,8,41412,41.412,0.42841190099716187,7.0,2.652003308436169
32,1000,8,41666,41.666,0.4258815348148346,6.0,2.625954596911885
32,1000,8,42493,42.493,0.41452521085739136,6.0,2.6433309608540925
64,1000,8,28772,28.772,0.4535161852836609,5.0,2.753482007988901
64,1000,8,28350,28.35,0.4478916525840759,5.0,2.779776924249547
64,1000,8,29048,29.048,0.4386204481124878,6.0,2.768430398712577
16,2000,8,83135,41.5675,0.41636526584625244,6.0,2.8962860266457264
16,2000,8,81675,40.8375,0.45121991634368896,6.0,2.939897799570091
16,2000,8,82874,41.437,0.41936203837394714,7.0,2.9114510178970128
32,2000,8,87418,43.709,0.40663397312164307,6.0,2.890133252423149
32,2000,8,84747,42.3735,0.4102667272090912,7.0,2.884550476486049
32,2000,8,86263,43.1315,0.4251956343650818,6.0,2.8908902312491347
64,2000,8,57617,28.8085,0.4389804005622864,6.0,2.9844817356236892
64,2000,8,59194,29.597,0.4455685019493103,6.0,2.9874967134895627
64,2000,8,58477,29.2385,0.4546239376068115,6.0,2.9797671172252107
16,3000,8,126162,42.054,0.43527334928512573,7.0,3.0573958972540316
16,3000,8,131241,43.747,0.3844328224658966,7.0,3.026476352505957
16,3000,8,129851,43.28366666666667,0.38841959834098816,6.0,3.039333686592718
32,3000,8,130306,43.43533333333333,0.401591032743454,7.0,3.0069387341004616
32,3000,8,131430,43.81,0.42054468393325806,8.0,3.013464078940381
32,3000,8,129674,43.224666666666664,0.4024280905723572,7.0,3.018178486118267
64,3000,8,86581,28.860333333333333,0.4548671841621399,6.0,3.1372551532425077
64,3000,8,85517,28.505666666666666,0.4538899064064026,7.0,3.1458433807736808
64,3000,8,86634,28.878,0.436728835105896,6.0,3.1467907569849234
16,250,20,20070,80.28,0.5481160283088684,5.0,1.8299704843470266
16,250,20,20538,82.152,0.5705485939979553,4.0,1.7543614457831325
16,250,20,20392,81.568,0.5838004946708679,4.0,1.7815234426015412
32,250,20,20679,82.716,0.5418859720230103,4.0,1.7358983258135423
32,250,20,20597,82.388,0.5464552044868469,4.0,1.7329651941097723
32,250,20,20450,81.8,0.5496907830238342,4.0,1.7586490540475153
64,250,20,14237,56.948,0.5925307273864746,4.0,1.927855421686747
64,250,20,13436,53.744,0.6178179979324341,4.0,1.964431496477714
64,250,20,12725,50.9,0.6203927993774414,4.0,1.987558396852717
